Campaign,Ad group,Keyword,Match type,Impressions,Clicks,Conversions,trans - us_qb001 - 19 - 1582695525771769364,QBSE_MCC_BuyNow_90 Days,QBOLive_MCC_Lead_90Days,trans - us_qb01d - 19 - 1582695525771241388,PSG_MCC_Order_90 Days,trans - us_qb00d - 19 - 1582695525771387916,QBES_MCC_Signup_90Days,trans - us_qb017 - 19 - 1582695525771849587,QBDT_MCC_Order_90 Days,trans - us_qb00- - 19 - 1582695525771704407,trans - us_qb01- - 19 - 1582695525771217054,Calls from ads,trans - us_qb00c - 19 - 1582695525771425165,trans - us_qb00a - 19 - 1582695525771567110,1099_MCC_Purchase_90 Days,trans - us_qb00g - 19 - 1582695525771448247,QBEcosystem_MCC_WWSUIVisit_90 Days,trans - us_qb01a - 19 - 1582695525771226066,trans - us_qb004 - 19 - 1582695525771799558,trans - us_qb00f - 19 - 1582695525771546228,trans - us_qb0 - 19 - 1582695525771833426,QBO_Advanced_MCC_BuyNow_90Days,QBSE_MCC_Sub_90 Days,trans - us_po00 - 19 - 1582695525771917573,trans - us_qb01k - 19 - 1582695525771972335,ProAdvisor_MCC_Signup_90 Days,QBOA_MCC_Signup_90 Days,trans - us_qb018 - 19 - 1582695525771856716,trans - us_qb00m - 19 - 1582695525771759376,QBSE_MCC_Signup_90 Days,QBO_MCC_Login_90Days,QBOLive_MCC_ScheduleConsult_90Days,trans - us_qb00r - 19 - 1582695525771539487,PayrollFirst_MCC_BuyNow_90 Days,trans - us_qb00q - 19 - 1582695525771416667,trans - us_pa0 - 19 - 1582695525771179557,trans - us_qb00i - 19 - 1582695525771365531,QBO_MCC_Signup_90 Days,QBO_MCC_BuyNow_90Days,trans - us_pr0 - 19 - 1582695525771209368,trans - us_ps0 - 19 - 1582695525771886990,QuickBooks Accounting+Invoice (Android) installs,trans - us_qb019 - 19 - 1582695525771864364,trans - us_qb01h - 19 - 1582695525771896332,All conv.,Cost,Total conv. value,CTR,Conv. rate,Avg. CPC,Avg. position,Top of page CPC,First page CPC,Quality score,Ad relevance,Expected clickthrough rate,Landing page experience,Labels,Campaign state,Ad group state,Keyword state,Campaign ID,Ad group ID,Keyword ID
QB_US_GGL_Brand_Purchase_Exact_Search_Mobile,Subscription,quickbooks subscription,Exact,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.99,0.0,0.3333,0.0,1.427143, --,0.04,0.04,10,Above average,Above average,Above average, --,enabled,enabled,enabled,8518794362,89370604947,362385279357
QB_US_GGL_Brand_Ancillary_Exact_Search_Mobile,SKU_Pro - 2019,quickbooks 2019 pro,Exact,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06,0.0,0.23809999999999998,0.0,1.412, --,0.73,0.41,6,Below average,Average,Above average, --,enabled,enabled,enabled,8517736047,83756497182,464405463342
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,MAC_Year - 2020,quickbooks desktop mac 2020,Exact,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.47,0.0,0.1905,0.0,9.1175, --,2.54,0.65,6,Below average,Average,Above average, --,enabled,enabled,enabled,1479750863,90204116367,657346117603
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,MAC_Computer,quickbooks mac desktop,Exact,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.29,0.0,0.09519999999999999,0.0,27.645, --,0.83,0.83,6,Below average,Average,Above average, --,enabled,enabled,enabled,1479750863,90204115367,362385254877
QB_US_GGL_Brand_Ancillary_Exact_Search_Mobile_MMMarch20,SKU_Pro,quickbook pro,Exact,21.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.83,67.0,0.2857,0.16670000000000001,0.971667, --,0.38,0.29,10,Above average,Above average,Above average, --,enabled,enabled,enabled,9656892385,99607376552,299596882449
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Pro Desktop 2020,quickbooks desktop pro 2020 free trial,Exact,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.5,61.92,0.1905,0.25,11.625, --,1.47,1.27,6,Below average,Average,Above average, --,enabled,enabled,enabled,1479750863,67053473479,838606419827
QB_US_GGL_Brand_Purchase_Exact_Search_Mobile_MMMarch20,Cost,quickbooks small business cost,Exact,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.61,0.0,0.4286,0.0,3.29, --,0.38,0.38,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653558793,102266981754,316544660149
QB_US_GGL_Brand_Other_Exact_Search_Desktop_MMMarch20,Awareness_Versions,quickbooks version,Exact,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.13,0.0,0.2857,0.0,3.188333, --,0.39,0.22,9,Average,Above average,Above average, --,enabled,enabled,enabled,9648710399,102131350467,314043615043
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,MAC_Computer,quickbook for mac,Exact,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.37,0.0,0.1429,0.0,5.123333, --,0.52,0.45,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487258285,299596881569
QB_US_GGL_Brand_Ancillary_Exact_Search_Mobile,Industry_Home,quickbooks home,Exact,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.86,0.0,0.5714,0.0,1.655, --,0.24,0.24,7,Average,Average,Above average, --,enabled,enabled,enabled,8517736047,83756494022,815808642
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Pro Desktop 2019,quickbook desktop pro 2019 download,Exact,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,0.0,0.1905,0.0,2.78, --,0.82,0.82,5,Below average,Below average,Above average, --,enabled,enabled,enabled,1479750863,67053469679,788546749402
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,Retention_Update,quickbooks desktop upgrade,Exact,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.28,0.0,0.1429,0.0,6.426667, --,1.74,1.08,6,Below average,Average,Above average, --,enabled,enabled,enabled,1479750863,90204116767,362385245517
